张伟|男|13800010001|100001|亲人
王芳|女|13800010002|100002|亲人
李娜|女|13800010003|100003|同学
刘洋|男|13800010004|100004|同学
陈杰|男|13800010005|100005|朋友
杨敏|女|13800010006|100006|朋友
赵磊|男|13800010007|100007|同事
黄静|女|13800010008|100008|同事
周强|男|13800010009|100009|亲人
吴婷|女|13800010010|100010|同学
徐凯|男|13800010011|100011|朋友
孙丽|女|13800010012|100012|同事
马超|男|13800010013|100013|同学
朱琳|女|13800010014|100014|朋友
胡军|男|13800010015|100015|亲人
郭雪|女|13800010016|100016|同事
何鹏|男|13800010017|100017|朋友
高洁|女|13800010018|100018|同学
林峰|男|13800010019|100019|亲人
罗丹|女|13800010020|100020|朋友
